id,x,y,z,log(1+delta),delta,sigma
0,623.484,1142.1504,1525.2768,0.2943866349562028,0.9696389999999999,5.622977
1,524.088,1203.5952,1138.536,0.28287849068607107,0.918132,5.405551
2,54.216,1709.6112,571.0752,0.2676029916421573,0.8518379999999999,5.116943
3,153.612,1762.02,531.3168,0.2670005591745869,0.8492709999999999,5.105561
4,39.7584,1686.1176,1850.5728,0.26614793518090873,0.8456440000000001,5.089451
5,847.5768,1443.9528,1062.6336,0.2653198037991135,0.8421280000000001,5.073807
6,1198.1736,135.54,1375.2792,0.2651224303872863,0.841291,5.0700769999999995
7,1012.032,1514.4336,1454.796,0.2646879873184273,0.83945,5.0618669999999995
8,590.9544,359.6328,1610.2152,0.2645559872579365,0.8388909999999999,5.059377
9,746.3736,820.4688,945.1656,0.2631039390674319,0.8327530000000001,5.031942
10,1181.9088,1171.0656,974.0808,0.2625614292283737,0.830465,5.021692
11,37.9512,670.4712,46.9872,0.2622965673218253,0.829349,5.016687999999999
12,1989.7272,368.6688,2076.4728,0.2619386522874334,0.827842,5.009926999999999
13,1659.0096,1306.6056,760.8312,0.261062690249576,0.824159,4.993377
14,57.8304,883.7208,2098.1592,0.2604112931970746,0.821425,4.981068
15,609.0264,2018.6424,115.6608,0.26018495784493045,0.820476,4.976793
16,122.8896,1124.0784,1304.7984,0.20850477600193543,0.616236,4.000376999999999
17,1395.1584,415.656,1575.8784,0.20844458138561758,0.616012,3.999244
18,128.3112,216.864,258.4296,0.15556223686160514,0.430745,3.000115
19,1400.58,1686.1176,806.0112,0.15554523804842996,0.43068900000000004,2.999795
20,699.3864,1760.2128,1725.876,0.10261033773387163,0.266515,1.9996770000000001
21,1951.776,2022.2568,1709.6112,0.10262953999624287,0.266571,2.000039
22,755.4096,1122.2712,867.456,0.04972763181412788,0.121315,1.00054
23,516.8592,325.296,603.6048,0.049662559163535604,0.121147,0.999315
24,937.9368,1382.508,1077.0912,-0.003211728333326497,-0.007368,0.000338
25,1675.2744,1492.7472,1335.5208,-0.0032362300389341806,-0.007423999999999999,-0.000123
26,1270.4616,518.6664,862.0344,-0.056113411097773354,-0.121207,-0.9991540000000001
27,242.1648,1881.2952,1624.6728,-0.056168764385547756,-0.12131900000000001,-1.0001959999999999
28,1454.796,1720.4544,1608.408,-0.10904496534653245,-0.22204400000000002,-1.999209
29,430.1136,296.3808,359.6328,-0.1091074939261149,-0.222156,-2.000386
30,1733.1048,1096.9704,1060.8264,-0.16205884077144933,-0.31144099999999997,-3.0008209999999997
31,1821.6576,946.9728,1431.3024,-0.16198820481074502,-0.311329,-2.999492
32,1913.8248,1033.7184,45.18,-0.02966102855939622,-0.06601699999999999,-0.499382
33,2009.6064,2024.064,1693.3464,-0.02973915421662096,-0.06618500000000001,-0.500853
34,339.7536,934.3224,1646.3592,-0.003260733126939051,-0.00748,-0.000584
35,1693.3464,914.4432,1977.0768,-0.0032362300389341806,-0.007423999999999999,-0.000123
36,778.9032,899.9856,1866.8376,0.0232837441757269,0.055076,0.5009279999999999
37,1790.9352,1239.7392,1765.6344,0.023214997546126024,0.054909000000000006,0.499626
38,2078.28,77.7096,140.9616,-0.28294560030948457,-0.47873999999999994,-5.284778
39,818.6616,110.2392,1628.2872,-0.24704394179701325,-0.43381800000000004,-4.606477
